id_distrito,nom_distrito,Zona_id_zona
-1,MAR TERRITORIAL,-1
01D01,CUENCA NORTE,6
01D02,CUENCA SUR,6
01D03,GIRON,6
01D04,GUALACEO,6
01D05,NABON,6
01D06,PAUTE,6
01D07,PONCE ENRIQUEZ,6
01D08,SIG SIG,6
02D01,GUARANDA,5
02D02,CHILLANES,5
02D03,SAN MIGUEL,5
02D04,SUBTROPICO,5
03D01,AZOGUES,6
03D02,CAÃƒâ€˜AR,6
03D03,LA TRONCAL,6
04D01,TULCAN,1
04D02,MONTUFAR,1
04D03,ESPEJO,1
05D01,LATACUNGA,3
05D02,LA MANA,3
05D03,PANGUA,3
05D04,DANSANTE,3
05D05,SIGCHOS,3
05D06,SALCEDO,3
06D01,RIOBAMBA,3
06D02,ALAUSI,3
06D03,PALLATANGA,3
06D04,COLTA,3
06D05,GUANO,3
07D01,PASAJE,7
07D02,MACHALA,7
07D03,ZARUMA,7
07D04,PIÃƒâ€˜AS,7
07D05,HUAQUILLAS,7
07D06,SANTA ROSA,7
08D01,ESMERALDAS,1
08D02,ELOY ALFARO,1
08D03,ATACAMES,1
08D04,QUININDE,1
08D05,SAN LORENZO,1
08D06,RIO VERDE,1
09D01,SUR,8
09D02,ESTEROS,8
09D03,9 DE OCTUBRE,8
09D04,PORTETE,8
09D05,MODELO,8
09D06,FLORIDA,8
09D07,PASCUALES,8
09D08,NUEVA PROSPERINA,8
09D09,CEIBOS,8
09D10,PROGRESO,8
09D11,JUJAN SIMON BOLIVAR,5
09D12,NARANJAL BALAO,5
09D13,BALZAR,5
09D14,PEDRO CARBO,5
09D15,EL EMPALME,5
09D16,EL TRIUNFO BUCAY,5
09D17,MILAGRO,5
09D18,NARANJITO MARCELINO MARIDUEÃƒâ€˜A,5
09D19,DAULE,5
09D20,SALITRE,5
09D21,YAGUACHI,5
09D22,PLAYAS,5
09D23,SAMBORONDON,8
09D24,DURAN,8
10D01,CIUDAD BLANCA,1
10D02,VALLE DEL AMANECER,1
10D03,TIERRA DEL SOL,1
11D01,LOJA,7
11D02,CATAMAYO,7
11D03,CATACOCHA,7
11D04,SABANILLA,7
11D05,ESPINDOLA,7
11D06,CALVAS,7
11D07,MACARA,7
11D08,SARAGURO,7
11D09,ZAPOTILLO,7
12D01,BABAHOYO,5
12D02,PUEBLOVIEJO,5
12D03,QUEVEDO,5
12D04,VENTANAS,5
12D05,VINCES,5
12D06,BUENA FE,5
13D01,PORTOVIEJO,4
13D02,MANTA,4
13D03,JIPIJAPA,4
13D04,24 DE MAYO,4
13D05,EL CARMEN,4
13D06,BOLIVAR JUNIN,4
13D07,CHONE,4
13D08,PICHINCHA,4
13D09,PAJAN,4
13D10,PEDERNALES,4
13D11,SUCRE,4
13D12,ROCAFUERTE,4
14D01,MORONA,6
14D02,SANGAY,6
14D03,CENTRO SUR,6
14D04,SUR,6
14D05,TAISHA,6
14D06,MENDEZ,6
15D01,TENA,2
15D02,EL VALLE DE QUIJOS,2
16D01,PASTAZA,3
16D02,ARAJUNO,3
17D01,NANEGAL,9
17D02,CALDERON,9
17D03,LA DELICIA,9
17D04,MANUELA SAENZ,9
17D05,EUGENIO ESPEJO,9
17D06,ELOY ALFARO,9
17D07,QUITUMBE,9
17D08,LOS CHILLOS,9
17D09,TUMBACO,9
17D10,CAYAMBE,2
17D11,RUMIÃƒâ€˜AHUI - MEJIA,2
17D12,NOROCCIDENTE,2
18D01,AMBATO NORTE,3
18D02,AMBATO SUR,3
18D03,BAÃƒâ€˜OS,3
18D04,PATATE,3
18D05,PILLARO,3
18D06,QUERO,3
19D01,ZAMORA,7
19D02,PAQUISHA,7
19D03,CHINCHIPE,7
19D04,YANTZAZA,7
20D01,GALAPAGOS,5
21D01,SUCUMBIOS,1
21D02,LAGO AGRIO,1
21D03,PUTUMAYO,1
21D04,SHUSHUFINDI,1
22D01,LA JOYA DE LOS SACHAS,2
22D02,ORELLANA LORETO,2
22D03,AGUARICO,2
23D01,SANTO DOMINGO ESTE,4
23D02,SANTO DOMINGO OESTE,4
23D03,LA CONCORDIA,4
24D01,SANTA ELENA,5
24D02,LIBERTAD SALINAS,5
90D01,EL PIEDRERO,-1